year,ccode_e,StateAbb_export,StateNme_export,ccode_a,StateAbb_import,StateNme_import,logflow,shareally,MID,loggdp.e,loggdp.a,comcur,sscore,region,bilatno,multino
2001,2,USA,United States of America,20,CAN,Canada,12.101259202423089,76,0,16.125656991832145,13.466025508249562,0,0.0746268630027771,North/Central America,0,1
2001,2,USA,United States of America,31,BHM,Bahamas,7.025618311438691,31,0,16.125656991832145,8.543055850941965,1,-0.43103447556495667,North/Central America,0,1
2001,2,USA,United States of America,40,CUB,Cuba,2.1377104498038118,-2,0,16.125656991832145,NA,0,-0.59375,North/Central America,0,0
2001,2,USA,United States of America,40,CUB,Cuba,2.1377104498038118,-2,0,16.125656991832145,NA,0,-0.59375,North/Central America,0,0
2001,2,USA,United States of America,41,HAI,Haiti,6.407061487748703,31,0,16.125656991832145,8.205941314916192,0,-0.5079365372657776,North/Central America,0,1
2001,2,USA,United States of America,41,HAI,Haiti,6.407061487748703,31,0,16.125656991832145,8.205941314916192,0,-0.5079365372657776,North/Central America,0,1
2001,2,USA,United States of America,42,DOM,Dominican Republic,8.641080226373022,31,0,16.125656991832145,9.980659346201966,0,-0.5,North/Central America,0,1
2001,2,USA,United States of America,42,DOM,Dominican Republic,8.641080226373022,31,0,16.125656991832145,9.980659346201966,0,-0.5,North/Central America,0,1
2001,2,USA,United States of America,51,JAM,Jamaica,7.34545521722366,31,0,16.125656991832145,9.014175190677978,0,-0.4285714328289032,North/Central America,0,1
2001,2,USA,United States of America,52,TRI,Trinidad and Tobago,7.188782758664748,31,0,16.125656991832145,9.085327725509512,0,-0.4333333373069763,North/Central America,0,1
2001,2,USA,United States of America,53,BAR,Barbados,6.110100552215804,31,0,16.125656991832145,7.837508306458816,0,-0.5,North/Central America,0,1
2001,2,USA,United States of America,54,DMA,Dominica,3.8824870829248583,31,0,16.125656991832145,5.567495941528994,0,-0.3684210479259491,North/Central America,0,1
2001,2,USA,United States of America,55,GRN,Grenada,4.203049479130317,31,0,16.125656991832145,5.979757415041199,0,-0.4000000059604645,North/Central America,0,1
2001,2,USA,United States of America,56,SLU,St. Lucia,4.5885325448350684,31,0,16.125656991832145,6.49887881070006,0,-0.4736842215061188,North/Central America,0,1
2001,2,USA,United States of America,57,SVG,St. Vincent and the Grenadines,4.2028805307884864,31,0,16.125656991832145,5.845153388586155,0,-1,North/Central America,0,1
2001,2,USA,United States of America,58,AAB,Antigua & Barbuda,4.6701148746284735,31,0,16.125656991832145,6.565786469704183,0,-0.529411792755127,North/Central America,0,1
2001,2,USA,United States of America,60,SKN,St. Kitts and Nevis,4.300138475201197,31,0,16.125656991832145,5.8360337259430155,0,-0.4615384638309479,North/Central America,0,1
2001,2,USA,United States of America,70,MEX,Mexico,11.737220353241606,31,0,16.125656991832145,13.340844375892955,0,-0.49253731966018677,North/Central America,0,1
2001,2,USA,United States of America,80,BLZ,Belize,5.2526921885217615,31,0,16.125656991832145,6.769986335227105,0,-0.5681818127632141,North/Central America,0,1
2001,2,USA,United States of America,90,GUA,Guatemala,7.633224431004207,31,0,16.125656991832145,9.95123252782877,0,-0.3709677457809448,North/Central America,0,1
2001,2,USA,United States of America,91,HON,Honduras,7.894165181163865,31,0,16.125656991832145,8.752727394937281,0,-0.4655172526836395,North/Central America,0,1
2001,2,USA,United States of America,92,SAL,El Salvador,7.818498652677139,31,0,16.125656991832145,9.533346933443267,0,-0.4464285671710968,North/Central America,0,1
2001,2,USA,United States of America,93,NIC,Nicaragua,6.204109177120796,31,0,16.125656991832145,8.31939014680331,0,-0.21875,North/Central America,0,1
2001,2,USA,United States of America,94,COS,Costa Rica,7.918199157919956,31,0,16.125656991832145,9.70524321880185,0,-0.4833333194255829,North/Central America,0,1
2001,2,USA,United States of America,95,PAN,Panama,7.291179256213422,31,0,16.125656991832145,9.376490201770272,1,-0.446153849363327,North/Central America,0,1
2001,2,USA,United States of America,100,COL,Colombia,8.399260644583615,31,0,16.125656991832145,11.314355997880718,0,-0.49253731966018677,North/Central America,0,1
2001,2,USA,United States of America,101,VEN,Venezuela,8.740933364716149,31,0,16.125656991832145,11.719205498072528,0,-0.5223880410194397,North/Central America,0,1
2001,2,USA,United States of America,110,GUY,Guyana,5.051201255842917,31,0,16.125656991832145,6.545754024172688,0,-0.53125,North/Central America,0,1
2001,2,USA,United States of America,115,SUR,Suriname,5.166156462945698,31,0,16.125656991832145,6.637868036768471,0,-0.2800000011920929,North/Central America,0,1
2001,2,USA,United States of America,130,ECU,Ecuador,7.3546438007218216,31,0,16.125656991832145,9.964112174352563,0,-0.5,North/Central America,0,1
2001,2,USA,United States of America,135,PER,Peru,7.542542147240872,31,0,16.125656991832145,10.895515848815936,0,-0.4029850661754608,North/Central America,0,1
2001,2,USA,United States of America,140,BRA,Brazil,9.77122621019905,31,0,16.125656991832145,13.221827417971115,0,-0.38805970549583435,North/Central America,0,1
2001,2,USA,United States of America,145,BOL,Bolivia,5.7536672775851985,31,0,16.125656991832145,9.004731336510677,0,-0.447761207818985,North/Central America,0,1
2001,2,USA,United States of America,150,PAR,Paraguay,6.080024724087462,31,0,16.125656991832145,8.771178626204108,0,-0.3333333432674408,North/Central America,0,1
2001,2,USA,United States of America,150,PAR,Paraguay,6.080024724087462,31,0,16.125656991832145,8.771178626204108,0,-0.3333333432674408,North/Central America,0,1
2001,2,USA,United States of America,155,CHL,Chile,8.144676280685927,31,0,16.125656991832145,11.135585562212912,0,-0.3030303120613098,North/Central America,0,1
2001,2,USA,United States of America,160,ARG,Argentina,8.37150361528176,31,0,16.125656991832145,12.501338582954775,0,-0.2537313401699066,North/Central America,0,1
2001,2,USA,United States of America,165,URU,Uruguay,6.12312857228668,31,0,16.125656991832145,9.82880746663635,0,-0.38805970549583435,North/Central America,0,1
2001,2,USA,United States of America,200,UKG,United Kingdom,10.715679195041902,45,0,16.125656991832145,14.176538464001661,0,0.20895522832870483,North/Central America,0,1
